"model","prompt","name","type","file_id"
"consistory","technoledge_8"," A sleek nature illustration of A robotic wolf, tracking wildlife in forests.png","image","1ZmRaKFoh2-HHRZ0f6QS9xZMLAHqP1awV"
"consistory","technoledge_8"," A sleek nature illustration of A robotic wolf, leading a robotic pack.png","image","1cM-vViRIGWuoBk_huHyFxvO8hQez9Fl0"
"consistory","technoledge_8"," A sleek nature illustration of A robotic wolf, assisting in wilderness exploration.png","image","1X1LvYQDO0SWe5Z6qt9ShAXm9p9NEzAKX"
"consistory","technoledge_8"," A sleek nature illustration of A robotic wolf, patrolling secure areas.png","image","17fInl1cQgAXsjM55DRc8glKcRzsMKnkI"
"consistory","technoledge_8"," A sleek nature illustration of A robotic wolf, guarding perimeters in urban zones.png","image","1-ghYJRK16WJxnoVity5IWVRVFqE7yePY"
"consistory","technoledge_7"," A majestic nature illustration of A robotic elephant, assisting with tree planting.png","image","1KTszTzPRIToK1myVv7hBNvFWqHv6l29-"
"consistory","technoledge_7"," A majestic nature illustration of A robotic elephant, transporting goods over rough terrain.png","image","13sXffBXW5HUbRxH3pa0LreQ7EcrMKBWL"
"consistory","technoledge_7"," A majestic nature illustration of A robotic elephant, patrolling wildlife reserves.png","image","1H_7KXvKMtf27rcQ70Cj1LI1ii6EwoFhp"
"consistory","technoledge_7"," A majestic nature illustration of A robotic elephant, providing rides for tourists.png","image","11qzyUgfms8fIHmb_ZUECvrsBxBiHpD36"
"consistory","technoledge_7"," A majestic nature illustration of A robotic elephant, carrying heavy materials in construction.png","image","16nZyC8GFYzF8znHOQiCFpWwR1tst2WkN"
"consistory","technoledge_6"," A compact delivery illustration of A delivery robot, transporting packages in a city.png","image","1UTuZ3fFMMOSR8fQjZRqBLfhQbfyEvv9v"
"consistory","technoledge_6"," A compact delivery illustration of A delivery robot, moving goods in a market.png","image","1HRSfzAXCAgY8xAUJF7DwabSJcY50tRe-"
